"Consumer","Frequency","Gender","Age","Homesize","Work","Income","Preference","Sweetness","BITTER","Crisp","product","cultivar","region"
"171","1","1","2","3","2","3",5,5,3,6,"Major_L","Major","Lammefjord"
"171","1","1","2","3","2","3",5,3,1,3,"Navar_E","Navar","Ejstrupholm"
"171","1","1","2","3","2","3",5,2,5,4,"Navar_L","Navar","Lammefjord"
"171","1","1","2","3","2","3",6,6,1,6,"Nelson_E","Nelson","Ejstrupholm"
"171","1","1","2","3","2","3",7,5,2,5,"Nelson_L","Nelson","Lammefjord"
"171","1","1","2","3","2","3",4,2,5,2,"Turbo_E","Turbo","Ejstrupholm"
"171","1","1","2","3","2","3",7,6,2,6,"Turbo_L","Turbo","Lammefjord"
"171","1","1","2","3","2","3",5,4,3,5,"Yukon_E","Yukon","Ejstrupholm"
"171","1","1","2","3","2","3",5,4,1,4,"Yukon_L","Yukon","Lammefjord"
"172","1","1","3","1","7","1",5,4,2,4,"Bolero_E","Bolero","Ejstrupholm"
"172","1","1","3","1","7","1",5,6,2,5,"Bolero_L","Bolero","Lammefjord"
"172","1","1","3","1","7","1",3,3,6,3,"Major_E","Major","Ejstrupholm"
"172","1","1","3","1","7","1",3,3,6,4,"Major_L","Major","Lammefjord"
"172","1","1","3","1","7","1",7,3,3,3,"Navar_E","Navar","Ejstrupholm"
"172","1","1","3","1","7","1",4,4,5,5,"Navar_L","Navar","Lammefjord"
"172","1","1","3","1","7","1",6,5,2,5,"Nelson_E","Nelson","Ejstrupholm"
"172","1","1","3","1","7","1",6,5,2,6,"Nelson_L","Nelson","Lammefjord"
"172","1","1","3","1","7","1",3,4,5,4,"Turbo_E","Turbo","Ejstrupholm"
"172","1","1","3","1","7","1",5,5,3,5,"Turbo_L","Turbo","Lammefjord"
"172","1","1","3","1","7","1",4,4,4,3,"Yukon_E","Yukon","Ejstrupholm"
"172","1","1","3","1","7","1",6,5,2,5,"Yukon_L","Yukon","Lammefjord"
"173","1","1","3","1","5","3",7,4,1,3,"Bolero_E","Bolero","Ejstrupholm"
"173","1","1","3","1","5","3",5,5,1,1,"Bolero_L","Bolero","Lammefjord"
"173","1","1","3","1","5","3",4,1,2,1,"Major_E","Major","Ejstrupholm"
"173","1","1","3","1","5","3",6,5,1,2,"Major_L","Major","Lammefjord"
"173","1","1","3","1","5","3",4,2,1,2,"Navar_E","Navar","Ejstrupholm"
"173","1","1","3","1","5","3",4,3,1,1,"Navar_L","Navar","Lammefjord"
"173","1","1","3","1","5","3",4,1,2,2,"Nelson_E","Nelson","Ejstrupholm"
"173","1","1","3","1","5","3",4,1,2,1,"Nelson_L","Nelson","Lammefjord"
"173","1","1","3","1","5","3",4,2,1,1,"Turbo_E","Turbo","Ejstrupholm"
"173","1","1","3","1","5","3",7,6,1,2,"Turbo_L","Turbo","Lammefjord"
"173","1","1","3","1","5","3",4,1,1,2,"Yukon_E","Yukon","Ejstrupholm"
"173","1","1","3","1","5","3",4,3,1,2,"Yukon_L","Yukon","Lammefjord"
"174","1","2","4","3","5","2",6,6,1,4,"Bolero_E","Bolero","Ejstrupholm"
"174","1","2","4","3","5","2",7,3,1,3,"Bolero_L","Bolero","Lammefjord"
"174","1","2","4","3","5","2",1,2,1,1,"Major_E","Major","Ejstrupholm"
"174","1","2","4","3","5","2",6,4,1,3,"Major_L","Major","Lammefjord"
"174","1","2","4","3","5","2",1,2,1,1,"Navar_E","Navar","Ejstrupholm"
"174","1","2","4","3","5","2",7,4,1,4,"Navar_L","Navar","Lammefjord"
"174","1","2","4","3","5","2",6,6,1,1,"Nelson_E","Nelson","Ejstrupholm"
"174","1","2","4","3","5","2",4,4,1,2,"Nelson_L","Nelson","Lammefjord"
"174","1","2","4","3","5","2",1,2,1,1,"Turbo_E","Turbo","Ejstrupholm"
"174","1","2","4","3","5","2",5,4,1,2,"Turbo_L","Turbo","Lammefjord"
"174","1","2","4","3","5","2",6,5,1,2,"Yukon_E","Yukon","Ejstrupholm"
"174","1","2","4","3","5","2",6,5,1,5,"Yukon_L","Yukon","Lammefjord"
"175","1","2","2","3","3","3",3,3,2,3,"Bolero_E","Bolero","Ejstrupholm"
"175","1","2","2","3","3","3",6,5,1,4,"Bolero_L","Bolero","Lammefjord"
"175","1","2","2","3","3","3",4,2,5,2,"Major_E","Major","Ejstrupholm"
"175","1","2","2","3","3","3",5,5,2,5,"Major_L","Major","Lammefjord"
"175","1","2","2","3","3","3",3,5,3,3,"Navar_E","Navar","Ejstrupholm"
"175","1","2","2","3","3","3",5,5,1,4,"Navar_L","Navar","Lammefjord"
"175","1","2","2","3","3","3",4,2,5,4,"Nelson_E","Nelson","Ejstrupholm"
"175","1","2","2","3","3","3",4,6,1,5,"Nelson_L","Nelson","Lammefjord"
"175","1","2","2","3","3","3",3,6,1,3,"Turbo_E","Turbo","Ejstrupholm"
"175","1","2","2","3","3","3",5,3,2,3,"Turbo_L","Turbo","Lammefjord"
"175","1","2","2","3","3","3",4,2,4,3,"Yukon_E","Yukon","Ejstrupholm"
"175","1","2","2","3","3","3",5,4,3,2,"Yukon_L","Yukon","Lammefjord"
"176","1","2","3","1","2","1",7,3,4,2,"Bolero_E","Bolero","Ejstrupholm"
"176","1","2","3","1","2","1",4,5,3,3,"Bolero_L","Bolero","Lammefjord"
"176","1","2","3","1","2","1",7,3,2,2,"Major_E","Major","Ejstrupholm"
"176","1","2","3","1","2","1",6,6,2,2,"Major_L","Major","Lammefjord"
"176","1","2","3","1","2","1",7,2,2,2,"Navar_E","Navar","Ejstrupholm"
"176","1","2","3","1","2","1",6,2,1,2,"Navar_L","Navar","Lammefjord"
"176","1","2","3","1","2","1",5,2,1,4,"Nelson_E","Nelson","Ejstrupholm"
"176","1","2","3","1","2","1",6,2,2,2,"Nelson_L","Nelson","Lammefjord"
"176","1","2","3","1","2","1",2,2,2,1,"Turbo_E","Turbo","Ejstrupholm"
"176","1","2","3","1","2","1",5,6,3,3,"Turbo_L","Turbo","Lammefjord"
"176","1","2","3","1","2","1",7,2,2,2,"Yukon_E","Yukon","Ejstrupholm"
"176","1","2","3","1","2","1",6,3,2,3,"Yukon_L","Yukon","Lammefjord"
"177","1","2","3","1","7","2",5,3,2,3,"Bolero_E","Bolero","Ejstrupholm"
"177","1","2","3","1","7","2",4,4,3,3,"Bolero_L","Bolero","Lammefjord"
"177","1","2","3","1","7","2",6,5,1,5,"Major_E","Major","Ejstrupholm"
"177","1","2","3","1","7","2",5,3,3,3,"Major_L","Major","Lammefjord"
"177","1","2","3","1","7","2",7,5,1,6,"Navar_E","Navar","Ejstrupholm"
"177","1","2","3","1","7","2",5,4,2,6,"Navar_L","Navar","Lammefjord"
"177","1","2","3","1","7","2",3,1,5,2,"Nelson_E","Nelson","Ejstrupholm"
"177","1","2","3","1","7","2",3,5,5,6,"Nelson_L","Nelson","Lammefjord"
"177","1","2","3","1","7","2",6,4,1,3,"Turbo_E","Turbo","Ejstrupholm"
"177","1","2","3","1","7","2",4,3,3,5,"Turbo_L","Turbo","Lammefjord"
"177","1","2","3","1","7","2",7,5,1,5,"Yukon_E","Yukon","Ejstrupholm"
"177","1","2","3","1","7","2",4,2,4,3,"Yukon_L","Yukon","Lammefjord"
"178","1","2","3","3","7","2",4,4,2,2,"Bolero_E","Bolero","Ejstrupholm"
"178","1","2","3","3","7","2",4,4,4,4,"Bolero_L","Bolero","Lammefjord"
"178","1","2","3","3","7","2",5,4,2,3,"Major_E","Major","Ejstrupholm"
"178","1","2","3","3","7","2",5,5,2,3,"Major_L","Major","Lammefjord"
"178","1","2","3","3","7","2",5,5,2,5,"Navar_E","Navar","Ejstrupholm"
"178","1","2","3","3","7","2",5,3,2,2,"Navar_L","Navar","Lammefjord"
"178","1","2","3","3","7","2",6,6,2,5,"Nelson_E","Nelson","Ejstrupholm"
"178","1","2","3","3","7","2",3,3,6,2,"Nelson_L","Nelson","Lammefjord"
"178","1","2","3","3","7","2",5,3,2,2,"Turbo_E","Turbo","Ejstrupholm"
"178","1","2","3","3","7","2",6,5,1,4,"Turbo_L","Turbo","Lammefjord"
"178","1","2","3","3","7","2",6,5,1,4,"Yukon_E","Yukon","Ejstrupholm"
"178","1","2","3","3","7","2",6,6,1,4,"Yukon_L","Yukon","Lammefjord"
"179","1","2","3","1","2","2",6,5,2,4,"Bolero_E","Bolero","Ejstrupholm"
"179","1","2","3","1","2","2",6,6,2,3,"Bolero_L","Bolero","Lammefjord"
"179","1","2","3","1","2","2",5,5,2,3,"Major_E","Major","Ejstrupholm"
"179","1","2","3","1","2","2",5,4,2,3,"Major_L","Major","Lammefjord"
"179","1","2","3","1","2","2",6,5,2,5,"Navar_E","Navar","Ejstrupholm"
"179","1","2","3","1","2","2",4,4,3,4,"Navar_L","Navar","Lammefjord"
"179","1","2","3","1","2","2",5,5,2,5,"Nelson_E","Nelson","Ejstrupholm"
"179","1","2","3","1","2","2",3,2,4,3,"Nelson_L","Nelson","Lammefjord"
"179","1","2","3","1","2","2",5,5,2,2,"Turbo_E","Turbo","Ejstrupholm"
"179","1","2","3","1","2","2",7,6,1,4,"Turbo_L","Turbo","Lammefjord"
"179","1","2","3","1","2","2",5,3,2,2,"Yukon_E","Yukon","Ejstrupholm"
"179","1","2","3","1","2","2",4,4,3,3,"Yukon_L","Yukon","Lammefjord"
"180","1","1","3","1","3","3",5,4,3,3,"Bolero_E","Bolero","Ejstrupholm"
"180","1","1","3","1","3","3",6,5,3,5,"Bolero_L","Bolero","Lammefjord"
"180","1","1","3","1","3","3",5,4,2,4,"Major_E","Major","Ejstrupholm"
"180","1","1","3","1","3","3",4,3,2,3,"Major_L","Major","Lammefjord"
"180","1","1","3","1","3","3",4,2,4,2,"Navar_E","Navar","Ejstrupholm"
"180","1","1","3","1","3","3",5,5,2,4,"Navar_L","Navar","Lammefjord"
"180","1","1","3","1","3","3",5,4,2,4,"Nelson_E","Nelson","Ejstrupholm"
"180","1","1","3","1","3","3",6,4,2,4,"Nelson_L","Nelson","Lammefjord"
"180","1","1","3","1","3","3",5,4,2,3,"Turbo_E","Turbo","Ejstrupholm"
"180","1","1","3","1","3","3",5,4,3,3,"Turbo_L","Turbo","Lammefjord"
"180","1","1","3","1","3","3",4,2,2,3,"Yukon_E","Yukon","Ejstrupholm"
"180","1","1","3","1","3","3",6,5,3,6,"Yukon_L","Yukon","Lammefjord"
"181","1","2","3","3","5","2",4,2,3,3,"Bolero_E","Bolero","Ejstrupholm"
"181","1","2","3","3","5","2",5,5,2,2,"Bolero_L","Bolero","Lammefjord"
"181","1","2","3","3","5","2",4,2,2,2,"Major_E","Major","Ejstrupholm"
"181","1","2","3","3","5","2",5,4,2,3,"Major_L","Major","Lammefjord"
"181","1","2","3","3","5","2",3,2,4,3,"Navar_E","Navar","Ejstrupholm"
"181","1","2","3","3","5","2",5,5,3,3,"Navar_L","Navar","Lammefjord"
"181","1","2","3","3","5","2",4,3,2,3,"Nelson_E","Nelson","Ejstrupholm"
"181","1","2","3","3","5","2",5,4,3,5,"Nelson_L","Nelson","Lammefjord"
"181","1","2","3","3","5","2",4,2,1,3,"Turbo_E","Turbo","Ejstrupholm"
"181","1","2","3","3","5","2",5,3,2,3,"Turbo_L","Turbo","Lammefjord"
"181","1","2","3","3","5","2",4,2,2,3,"Yukon_E","Yukon","Ejstrupholm"
"181","1","2","3","3","5","2",5,5,3,3,"Yukon_L","Yukon","Lammefjord"
"182","1","1","3","1","7","1",6,6,1,5,"Bolero_E","Bolero","Ejstrupholm"
"182","1","1","3","1","7","1",6,3,1,3,"Bolero_L","Bolero","Lammefjord"
"182","1","1","3","1","7","1",6,4,1,4,"Major_E","Major","Ejstrupholm"
"182","1","1","3","1","7","1",5,2,1,2,"Major_L","Major","Lammefjord"
"182","1","1","3","1","7","1",6,5,1,3,"Navar_E","Navar","Ejstrupholm"
"182","1","1","3","1","7","1",6,4,1,4,"Navar_L","Navar","Lammefjord"
"182","1","1","3","1","7","1",6,5,1,3,"Nelson_E","Nelson","Ejstrupholm"
"182","1","1","3","1","7","1",6,3,1,3,"Nelson_L","Nelson","Lammefjord"
"182","1","1","3","1","7","1",5,2,1,2,"Turbo_E","Turbo","Ejstrupholm"
"182","1","1","3","1","7","1",6,4,1,4,"Turbo_L","Turbo","Lammefjord"
"182","1","1","3","1","7","1",5,3,1,3,"Yukon_E","Yukon","Ejstrupholm"
"182","1","1","3","1","7","1",7,4,1,3,"Yukon_L","Yukon","Lammefjord"
"183","2","2","2","3","1","1",4,2,1,2,"Bolero_E","Bolero","Ejstrupholm"
"183","2","2","2","3","1","1",5,2,1,2,"Bolero_L","Bolero","Lammefjord"
"183","2","2","2","3","1","1",4,1,2,1,"Major_E","Major","Ejstrupholm"
"183","2","2","2","3","1","1",7,2,1,2,"Major_L","Major","Lammefjord"
"183","2","2","2","3","1","1",5,1,2,1,"Navar_E","Navar","Ejstrupholm"
"183","2","2","2","3","1","1",5,2,2,2,"Navar_L","Navar","Lammefjord"
"183","2","2","2","3","1","1",6,3,1,3,"Nelson_E","Nelson","Ejstrupholm"
"183","2","2","2","3","1","1",6,3,1,4,"Nelson_L","Nelson","Lammefjord"
"183","2","2","2","3","1","1",6,3,1,3,"Turbo_E","Turbo","Ejstrupholm"
"183","2","2","2","3","1","1",4,2,3,1,"Turbo_L","Turbo","Lammefjord"
"183","2","2","2","3","1","1",5,2,3,2,"Yukon_E","Yukon","Ejstrupholm"
"183","2","2","2","3","1","1",5,3,3,4,"Yukon_L","Yukon","Lammefjord"
"184","1","2","3","3","4","2",3,5,4,3,"Bolero_E","Bolero","Ejstrupholm"
"184","1","2","3","3","4","2",5,5,1,4,"Bolero_L","Bolero","Lammefjord"
"184","1","2","3","3","4","2",6,4,2,3,"Major_E","Major","Ejstrupholm"
"184","1","2","3","3","4","2",5,3,1,5,"Major_L","Major","Lammefjord"
"184","1","2","3","3","4","2",4,2,1,1,"Navar_E","Navar","Ejstrupholm"
"184","1","2","3","3","4","2",3,4,4,5,"Navar_L","Navar","Lammefjord"
"184","1","2","3","3","4","2",5,3,4,4,"Nelson_E","Nelson","Ejstrupholm"
"184","1","2","3","3","4","2",3,5,5,5,"Nelson_L","Nelson","Lammefjord"
"184","1","2","3","3","4","2",4,3,1,1,"Turbo_E","Turbo","Ejstrupholm"
"184","1","2","3","3","4","2",3,5,3,3,"Turbo_L","Turbo","Lammefjord"
"184","1","2","3","3","4","2",4,2,1,1,"Yukon_E","Yukon","Ejstrupholm"
"184","1","2","3","3","4","2",5,3,3,2,"Yukon_L","Yukon","Lammefjord"
"185","1","2","3","1","5","3",3,4,5,2,"Bolero_E","Bolero","Ejstrupholm"
"185","1","2","3","1","5","3",4,5,2,2,"Bolero_L","Bolero","Lammefjord"
"185","1","2","3","1","5","3",2,1,4,2,"Major_E","Major","Ejstrupholm"
"185","1","2","3","1","5","3",5,5,1,2,"Major_L","Major","Lammefjord"
"185","1","2","3","1","5","3",4,4,1,1,"Navar_E","Navar","Ejstrupholm"
"185","1","2","3","1","5","3",3,6,5,4,"Navar_L","Navar","Lammefjord"
"185","1","2","3","1","5","3",2,4,3,2,"Nelson_E","Nelson","Ejstrupholm"
"185","1","2","3","1","5","3",5,5,2,4,"Nelson_L","Nelson","Lammefjord"
"185","1","2","3","1","5","3",4,5,2,2,"Turbo_E","Turbo","Ejstrupholm"
"185","1","2","3","1","5","3",6,5,2,5,"Turbo_L","Turbo","Lammefjord"
"185","1","2","3","1","5","3",5,3,1,4,"Yukon_E","Yukon","Ejstrupholm"
"185","1","2","3","1","5","3",4,6,1,3,"Yukon_L","Yukon","Lammefjord"
"186","1","1","4","1","5",NA,2,2,5,2,"Bolero_E","Bolero","Ejstrupholm"
"186","1","1","4","1","5",NA,4,5,3,3,"Bolero_L","Bolero","Lammefjord"
"186","1","1","4","1","5",NA,4,2,3,2,"Major_E","Major","Ejstrupholm"
"186","1","1","4","1","5",NA,7,6,1,6,"Major_L","Major","Lammefjord"
"186","1","1","4","1","5",NA,3,1,2,6,"Navar_E","Navar","Ejstrupholm"
"186","1","1","4","1","5",NA,3,2,3,4,"Navar_L","Navar","Lammefjord"
"186","1","1","4","1","5",NA,4,5,3,5,"Nelson_E","Nelson","Ejstrupholm"
"186","1","1","4","1","5",NA,3,5,2,4,"Nelson_L","Nelson","Lammefjord"
"186","1","1","4","1","5",NA,4,5,3,3,"Turbo_E","Turbo","Ejstrupholm"
"186","1","1","4","1","5",NA,3,2,3,3,"Turbo_L","Turbo","Lammefjord"
"186","1","1","4","1","5",NA,2,3,6,4,"Yukon_E","Yukon","Ejstrupholm"
"186","1","1","4","1","5",NA,6,5,1,5,"Yukon_L","Yukon","Lammefjord"
"187","2","2","4","1","7","2",4,2,2,1,"Bolero_E","Bolero","Ejstrupholm"
"187","2","2","4","1","7","2",6,5,1,5,"Bolero_L","Bolero","Lammefjord"
"187","2","2","4","1","7","2",4,1,2,1,"Major_E","Major","Ejstrupholm"
"187","2","2","4","1","7","2",4,2,1,3,"Major_L","Major","Lammefjord"
"187","2","2","4","1","7","2",5,2,2,2,"Navar_E","Navar","Ejstrupholm"
"187","2","2","4","1","7","2",5,3,1,3,"Navar_L","Navar","Lammefjord"
"187","2","2","4","1","7","2",5,2,1,2,"Nelson_E","Nelson","Ejstrupholm"
"187","2","2","4","1","7","2",4,1,1,1,"Nelson_L","Nelson","Lammefjord"
"187","2","2","4","1","7","2",5,2,1,2,"Turbo_E","Turbo","Ejstrupholm"
"187","2","2","4","1","7","2",2,1,1,1,"Turbo_L","Turbo","Lammefjord"
"187","2","2","4","1","7","2",4,2,1,2,"Yukon_E","Yukon","Ejstrupholm"
"187","2","2","4","1","7","2",4,2,1,2,"Yukon_L","Yukon","Lammefjord"
"188","1","2","3","1","1","2",5,4,4,4,"Bolero_E","Bolero","Ejstrupholm"
"188","1","2","3","1","1","2",6,5,2,4,"Bolero_L","Bolero","Lammefjord"
"188","1","2","3","1","1","2",3,1,5,1,"Major_E","Major","Ejstrupholm"
"188","1","2","3","1","1","2",4,4,1,3,"Major_L","Major","Lammefjord"
"188","1","2","3","1","1","2",4,2,1,2,"Navar_E","Navar","Ejstrupholm"
"188","1","2","3","1","1","2",4,3,3,4,"Navar_L","Navar","Lammefjord"
"188","1","2","3","1","1","2",5,3,1,2,"Nelson_E","Nelson","Ejstrupholm"
"188","1","2","3","1","1","2",6,6,1,5,"Nelson_L","Nelson","Lammefjord"
"188","1","2","3","1","1","2",5,5,2,4,"Turbo_E","Turbo","Ejstrupholm"
"188","1","2","3","1","1","2",2,1,4,1,"Turbo_L","Turbo","Lammefjord"
"188","1","2","3","1","1","2",4,6,1,2,"Yukon_E","Yukon","Ejstrupholm"
"188","1","2","3","1","1","2",5,6,2,3,"Yukon_L","Yukon","Lammefjord"
"189","1","1","4","1","7","2",7,5,1,4,"Bolero_E","Bolero","Ejstrupholm"
"189","1","1","4","1","7","2",6,6,1,4,"Bolero_L","Bolero","Lammefjord"
"189","1","1","4","1","7","2",4,4,2,2,"Major_E","Major","Ejstrupholm"
"189","1","1","4","1","7","2",4,2,2,2,"Major_L","Major","Lammefjord"
"189","1","1","4","1","7","2",4,3,1,4,"Navar_E","Navar","Ejstrupholm"
"189","1","1","4","1","7","2",5,4,1,2,"Navar_L","Navar","Lammefjord"
"189","1","1","4","1","7","2",5,2,1,3,"Nelson_E","Nelson","Ejstrupholm"
"189","1","1","4","1","7","2",7,4,1,5,"Nelson_L","Nelson","Lammefjord"
"189","1","1","4","1","7","2",7,3,1,2,"Turbo_E","Turbo","Ejstrupholm"
"189","1","1","4","1","7","2",7,4,1,4,"Turbo_L","Turbo","Lammefjord"
"189","1","1","4","1","7","2",6,4,1,4,"Yukon_E","Yukon","Ejstrupholm"
"189","1","1","4","1","7","2",6,5,1,3,"Yukon_L","Yukon","Lammefjord"
"191","2","1","4","1","5","1",5,2,3,2,"Bolero_E","Bolero","Ejstrupholm"
"191","2","1","4","1","5","1",5,3,2,3,"Bolero_L","Bolero","Lammefjord"
"191","2","1","4","1","5","1",4,2,3,2,"Major_E","Major","Ejstrupholm"
"191","2","1","4","1","5","1",4,2,3,3,"Major_L","Major","Lammefjord"
"191","2","1","4","1","5","1",4,2,3,3,"Navar_E","Navar","Ejstrupholm"
"191","2","1","4","1","5","1",5,3,2,3,"Navar_L","Navar","Lammefjord"
"191","2","1","4","1","5","1",4,2,3,2,"Nelson_E","Nelson","Ejstrupholm"
"191","2","1","4","1","5","1",5,3,2,3,"Nelson_L","Nelson","Lammefjord"
"191","2","1","4","1","5","1",4,3,3,3,"Turbo_E","Turbo","Ejstrupholm"
"191","2","1","4","1","5","1",5,3,2,3,"Turbo_L","Turbo","Lammefjord"
"191","2","1","4","1","5","1",4,2,3,2,"Yukon_E","Yukon","Ejstrupholm"
"191","2","1","4","1","5","1",5,3,3,3,"Yukon_L","Yukon","Lammefjord"
"192","2","2","4","1","1",NA,5,3,3,2,"Bolero_E","Bolero","Ejstrupholm"
"192","2","2","4","1","1",NA,5,4,3,2,"Bolero_L","Bolero","Lammefjord"
"192","2","2","4","1","1",NA,3,1,3,1,"Major_E","Major","Ejstrupholm"
"192","2","2","4","1","1",NA,4,1,4,1,"Major_L","Major","Lammefjord"
"192","2","2","4","1","1",NA,4,2,3,1,"Navar_E","Navar","Ejstrupholm"
"192","2","2","4","1","1",NA,5,2,4,2,"Navar_L","Navar","Lammefjord"
"192","2","2","4","1","1",NA,4,2,3,2,"Nelson_E","Nelson","Ejstrupholm"
"192","2","2","4","1","1",NA,5,5,3,4,"Nelson_L","Nelson","Lammefjord"
"192","2","2","4","1","1",NA,4,2,3,4,"Turbo_E","Turbo","Ejstrupholm"
"192","2","2","4","1","1",NA,5,3,3,2,"Turbo_L","Turbo","Lammefjord"
"192","2","2","4","1","1",NA,5,2,3,2,"Yukon_E","Yukon","Ejstrupholm"
"192","2","2","4","1","1",NA,5,3,2,2,"Yukon_L","Yukon","Lammefjord"
"193","1","2","3","3","4","4",3,3,6,4,"Bolero_E","Bolero","Ejstrupholm"
"193","1","2","3","3","4","4",5,4,3,5,"Bolero_L","Bolero","Lammefjord"
"193","1","2","3","3","4","4",4,2,3,3,"Major_E","Major","Ejstrupholm"
"193","1","2","3","3","4","4",4,2,2,3,"Major_L","Major","Lammefjord"
"193","1","2","3","3","4","4",4,5,5,5,"Navar_E","Navar","Ejstrupholm"
"193","1","2","3","3","4","4",5,5,3,5,"Navar_L","Navar","Lammefjord"
"193","1","2","3","3","4","4",5,4,3,3,"Nelson_E","Nelson","Ejstrupholm"
"193","1","2","3","3","4","4",6,4,3,5,"Nelson_L","Nelson","Lammefjord"
"193","1","2","3","3","4","4",4,4,5,3,"Turbo_E","Turbo","Ejstrupholm"
"193","1","2","3","3","4","4",4,4,3,2,"Turbo_L","Turbo","Lammefjord"
"193","1","2","3","3","4","4",2,2,2,2,"Yukon_E","Yukon","Ejstrupholm"
"193","1","2","3","3","4","4",5,4,3,5,"Yukon_L","Yukon","Lammefjord"
"194","4","2","1","1","6","1",4,3,2,3,"Bolero_E","Bolero","Ejstrupholm"
"194","4","2","1","1","6","1",4,5,3,3,"Bolero_L","Bolero","Lammefjord"
"194","4","2","1","1","6","1",4,4,1,2,"Major_E","Major","Ejstrupholm"
"194","4","2","1","1","6","1",4,5,1,4,"Major_L","Major","Lammefjord"
"194","4","2","1","1","6","1",4,5,2,4,"Navar_E","Navar","Ejstrupholm"
"194","4","2","1","1","6","1",5,4,3,5,"Navar_L","Navar","Lammefjord"
"194","4","2","1","1","6","1",4,5,1,4,"Nelson_E","Nelson","Ejstrupholm"
"194","4","2","1","1","6","1",4,3,4,4,"Nelson_L","Nelson","Lammefjord"
"194","4","2","1","1","6","1",4,4,3,3,"Turbo_E","Turbo","Ejstrupholm"
"194","4","2","1","1","6","1",4,3,2,2,"Turbo_L","Turbo","Lammefjord"
"194","4","2","1","1","6","1",4,3,2,4,"Yukon_E","Yukon","Ejstrupholm"
"194","4","2","1","1","6","1",6,6,1,5,"Yukon_L","Yukon","Lammefjord"
"195","1","1","1","3","1","2",6,5,2,6,"Bolero_E","Bolero","Ejstrupholm"
"195","1","1","1","3","1","2",6,6,2,4,"Bolero_L","Bolero","Lammefjord"
"195","1","1","1","3","1","2",5,5,3,5,"Major_E","Major","Ejstrupholm"
"195","1","1","1","3","1","2",4,2,6,4,"Major_L","Major","Lammefjord"
"195","1","1","1","3","1","2",6,5,3,5,"Navar_E","Navar","Ejstrupholm"
"195","1","1","1","3","1","2",4,5,2,5,"Navar_L","Navar","Lammefjord"
"195","1","1","1","3","1","2",5,4,2,6,"Nelson_E","Nelson","Ejstrupholm"
"195","1","1","1","3","1","2",3,2,5,4,"Nelson_L","Nelson","Lammefjord"
"195","1","1","1","3","1","2",3,4,2,5,"Turbo_E","Turbo","Ejstrupholm"
"195","1","1","1","3","1","2",5,4,3,5,"Turbo_L","Turbo","Lammefjord"
"195","1","1","1","3","1","2",4,4,3,4,"Yukon_E","Yukon","Ejstrupholm"
"195","1","1","1","3","1","2",3,5,2,5,"Yukon_L","Yukon","Lammefjord"
"196","1","2","3","1","3","3",3,2,2,2,"Bolero_E","Bolero","Ejstrupholm"
"196","1","2","3","1","3","3",6,3,1,5,"Bolero_L","Bolero","Lammefjord"
